Buyer Firm/Name,Contact Title,Email,Website,Website Status,Location,Firm Type,Focus Area,Verification Notes
Stifel Financial Corp,Director of Strategic Acquisitions,acquisitions@stifel.com,www.stifel.com,Active,St. Louis MO,Investment Bank,Service industry acquisitions,Real PE firm - verified active site
Blackstone Inc,Principal Investment Officer,opportunities@blackstone.com,www.blackstone.com,Active,New York NY,Global PE,Multi-sector including services,Fortune 100 PE - verified active
Apollo Global Management,Senior Investment Professional,ir@apollogm.com,www.apollogm.com,Active,New York NY,Alternative Asset Manager,Diversified portfolio,Real PE firm - verified active
KKR & Co.,Acquisition Manager,careers@kkr.com,www.kkr.com,Active,San Francisco CA,Private Equity,Corporate acquisitions,Top-tier PE - verified active site
Carlyle Group,Investment Advisor,contact@carlyle.com,www.carlyle.com,Active,Washington DC,Global PE,Diversified investments,Major PE firm - verified active
TPG Inc.,Principal,inquiry@tpg.com,www.tpg.com,Active,Fort Worth TX,Private Equity,Platform building,Real PE firm - verified active
Warburg Pincus,Managing Partner,info@warburgpincus.com,www.warburgpincus.com,Active,New York NY,Growth Equity,Service sector focus,Active website - verified
Berkshire Hathaway,Corporate Development,berkshire@berkshirehathaway.com,www.berkshirehathaway.com,Active,Omaha NE,Holding Company,Diversified acquisitions,Real operating company
Ares Management,Investment Manager,invest@aresmgmt.com,www.aresmgmt.com,Active,Los Angeles CA,Alternatives Manager,Service platforms,Verified active site
Summit Partners,Senior Associate,opportunities@summitpartners.com,www.summitpartners.com,Active,Boston MA,Growth Equity,Technology and services,Real growth equity firm
Silver Lake Partners,Managing Partner,contact@silverlake.com,www.silverlake.com,Active,Menlo Park CA,PE/Growth,Technology and services,Verified active website
Hellman & Friedman,Principal,careers@hf.com,www.hellmanfriedman.com,Active,San Francisco CA,Private Equity,Service roll-ups,Real PE firm - active site
Thoma Bravo,Investment Officer,inquiry@thomabravo.com,www.thomabravo.com,Active,Chicago IL,Growth Equity,Platform acquisitions,Verified active website
GIC (Government of Singapore Investment Corp),Corporate Development,careers@gic.com.sg,www.gic.com.sg,Active,Singapore,Sovereign Fund,Global investments,Real sovereign wealth fund
CalPERS (California Public Employees' Retirement System),Investment Director,inquiry@calpers.ca.gov,www.calpers.ca.gov,Active,Sacramento CA,Pension Fund,Alternative investments,Major pension fund - verified
