"Business Name","Owner First","Owner Last","Email","Email Status","Phone","City / State","Google Rating","Review Count","Notes"
"Courtesy Air Conditioning & Heating","Thomas","(verify)","info@courtesyaconline.com","Pattern - verify","(281) 496-9450","Houston, TX","(pull)","(pull)","Website verified live; family-owned 37 yrs; owner Thomas (last name to confirm)"
"Punbar Air","Ronald","Amaya","info@punbarair.com","Pattern - verify","(832) 736-4432","Houston, TX","(pull)","(pull)","Website verified live; founded 2015; owner Ronald Amaya"
"Dave Lane's Hi-Tech Mechanical","Dave","Lane","info@davelaneair.com","Pattern - verify","(713) 960-4269","Tomball, TX","(pull)","(pull)","Website verified live; family HVAC since 1976; owner Dave Lane"
"Majestic Air Conditioning","(verify)","(verify)","service@majestic-ac.com","From website","(281) 376-2224","Spring, TX","4.9","1594","Website verified live; email from site; rating per site (confirm on Maps)"
"Heights A/C & Heating","(verify)","(verify)","service@heightsacandheating.com","From website","(832) 729-0017","Houston, TX","(pull)","(pull)","Website verified live; email from site; locally owned"
"Mission Air Conditioning & Plumbing","Robert","Koster","info@missionac.com","Pattern - verify","(281) 985-5129","Houston, TX","4.8","2304","Website verified live; owner Robert Koster; rating per site (confirm on Maps)"
"SWAT A/C & Heat","Todd","(verify)","todd@swattx.com","From website","(281) 705-6401","Spring, TX","(pull)","(pull)","Website verified live; owner email todd@ (first name Todd); family-owned 29 yrs"
"Woodlands Plumbing & Air","Phil","(verify)","info@thewoodlandsplumbingandair.com","Pattern - verify","(281) 715-9593","The Woodlands, TX","(pull)","(pull)","Website verified live; owner Phil (last name to confirm)"
"Abacus Plumbing, AC & Electrical","Alan","O'Neill","info@abacusplumbing.net","Pattern - verify","(713) 766-3605","Houston, TX","(pull)","(pull)","Website verified live; owner/CEO Alan O Neill; larger op (2 locations)"
"Douglas Mechanical, Inc.","(verify)","(verify)","info@douglas-inc.com","Pattern - verify","(346) 298-7440","Spring, TX","(pull)","(pull)","Website verified live; HVAC since 1975"
