Company,Website,Vertical,HQ State,Revenue Tier,Self-Serve B2B Signal,Decision Maker Role,LinkedIn (to search),Email (verify on enrichment)
Amsterdam Printing,amsterdamprinting.com,Promotional Products,NY,$50M-$200M,"Direct checkout, no distributor gate. Tax-exempt option on cart.",VP Ecommerce or CMO,search Amsterdam Printing on LinkedIn,pattern: firstlast@amsterdamprinting.com
4imprint,4imprint.com,Promotional Products,WI,$1B+,"Self-serve B2B, purchase orders accepted, corporate accounts optional not required",VP Digital / Head of B2B,search 4imprint leadership,pattern: firstlast@4imprint.com
VistaPrint,vistaprint.com,Business Printing,MA,$1.5B+,"Direct checkout, business templates, PO accepted, bulk pricing tiers",Head of B2B or VP Ecommerce,search Vistaprint on LinkedIn,pattern: firstlast@vistaprint.com
CustomInk,customink.com,Custom Apparel,VA,$500M+,"Self-serve group orders, business checkout with tax-exempt",VP Growth or Head of Corporate,search CustomInk leadership,pattern: firstlast@customink.com
MOO,moo.com,Business Printing,UK/US,$150M+,"B2B accounts optional, self-serve business printing, corporate discounts",VP Marketing US,search MOO US leadership,pattern: firstlast@moo.com
Zazzle,zazzle.com,Custom Products & Corporate Gifts,CA,$300M+,"Direct checkout, business templates, corporate portal but not gated",Head of B2B / VP Growth,search Zazzle leadership,pattern: firstlast@zazzle.com
National Pen,nationalpen.com,Promotional Products,CA,$500M+,"Direct checkout, business volume pricing, tax exempt option",VP Ecommerce,search National Pen US,pattern: firstlast@nationalpen.com
Discount Mugs,discountmugs.com,Promotional Products,FL,$50M-$100M,"Direct checkout, quantity discounts, business orders",Founder / CEO,search Discount Mugs,pattern: firstlast@discountmugs.com
Uline,uline.com,Industrial & Shipping Supplies,WI,$8B+,"Direct checkout, tax exempt, PO friendly, no signup gate",VP Ecommerce / Head of Digital,search Uline leadership,pattern: firstlast@uline.com
Grainger,grainger.com,Industrial Supplies,IL,$16B+,"Self-serve business checkout, tax exempt, corporate accounts optional",VP Ecommerce,search Grainger digital leadership,pattern: firstlast@grainger.com
Zoro,zoro.com,Industrial Supplies,IL,$1B+,"Direct checkout, business account optional, PO accepted",Head of Growth / VP Marketing,search Zoro leadership,pattern: firstlast@zoro.com
WebstaurantStore,webstaurantstore.com,Restaurant & Hospitality Supplies,PA,$2B+,"Self-serve B2B, tax exempt, PO on checkout",VP Ecommerce,search WebstaurantStore leadership,pattern: firstlast@webstaurantstore.com
Staples,staples.com,Office Supplies,MA,$10B+,"Self-serve B2B checkout, business accounts optional, tax exempt",VP Digital / Head of B2B Ecom,search Staples leadership,pattern: firstlast@staples.com
Office Depot,officedepot.com,Office Supplies,FL,$8B+,"Self-serve B2B checkout, tax exempt, PO",VP Ecommerce / Digital,search Office Depot leadership,pattern: firstlast@officedepot.com
Quill,quill.com,Office Supplies (Staples sub),IL,$1B+,"Direct checkout, business focused, tax exempt",VP Growth,search Quill leadership,pattern: firstlast@quill.com
Bulk Office Supply,bulkofficesupply.com,Office Supplies,NJ,$20M-$50M,"Self-serve business ecom, bulk pricing default, tax exempt",Founder / CEO,search Bulk Office Supply,pattern: info@ or firstlast@bulkofficesupply.com
Global Industrial,globalindustrial.com,Industrial & MRO Supplies,NY,$1B+,"Direct checkout, PO, tax exempt, no distributor gate",VP Ecommerce,search Global Industrial leadership,pattern: firstlast@globalindustrial.com
Jiffy Shirts,jiffyshirts.com,Blank Apparel,IL,$50M-$100M,"Self-serve wholesale-priced apparel, no account required, tax exempt at checkout",Founder / CEO,search Jiffy Shirts,pattern: firstlast@jiffyshirts.com
Newegg Business,neweggbusiness.com,Tech & Electronics,CA,$500M+,"B2B storefront by Newegg, direct checkout, tax exempt",Head of B2B,search Newegg Business leadership,pattern: firstlast@newegg.com
B&H Photo Business,bhphotovideo.com/b2b,Tech & Electronics,NY,$3B+,"B2B checkout, PO accepted, tax exempt, business accounts optional",VP B2B / Ecommerce,search B&H Photo B2B leadership,pattern: firstlast@bhphoto.com
